seed,scene_index,scene_name,method,success,terminal_error,min_dist,arrival_time_success,control_energy,update_count,accepted_update_count,confidence,alpha,pred_gain,recent_gain,norm_id_error,nnz_model
123,5,S5 Continuously varying terrain,sindy,1,0.2605291324018947,0.6924044494678262,10.3,12.370259083411533,18,7,0.8935692147050425,0.32807711792873145,0.9752501092495569,0.9767543508574481,0.005211953285751719,15
123,5,S5 Continuously varying terrain,standard,1,0.2631077203574138,0.6467161815623446,10.3,12.225250168877833,0,0,,,,,,0
123,5,S5 Continuously varying terrain,rls,1,0.2631077203574138,0.6467161815623446,10.3,12.225250168877833,89,89,,0.2,,,,0
123,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.3002183291045549,0.4955193231766088,16.1,19.53550830889736,30,2,0.8716718094928574,0.16289927571781726,0.9752449832637334,0.9777301688181242,0.03645937430658455,13
123,6,S6 High-mismatch asymmetric mud stress,standard,1,0.3148694336293181,0.3905654974963431,16.6,18.671947268633023,0,0,,,,,,0
123,6,S6 High-mismatch asymmetric mud stress,rls,1,0.3159530734105824,0.39583927082501397,16.5,18.75692757825031,151,151,,0.2,,,,0
124,1,S1 Slippery-surface avoidance,sindy,1,0.2965017928109434,1.3529408678237944,12.200000000000001,14.886794058377166,22,3,0.8910842853370045,0.22006806668840118,0.9938375673444003,0.9930019081197791,0.00726286276492965,15
124,1,S1 Slippery-surface avoidance,standard,1,0.2820601112652866,1.2970777439966734,12.200000000000001,14.550718836206062,0,0,,,,,,0
124,1,S1 Slippery-surface avoidance,rls,1,0.2820601112652866,1.2970777439966734,12.200000000000001,14.550718836206062,108,108,,0.2,,,,0
124,2,S2 One-sided mud pit (benchmark),sindy,1,0.26588110463250836,0.35335496570465286,10.4,11.856246807920304,18,13,0.8793885190118333,0.36734833519710147,0.9107617170840406,0.8855717978354907,0.02310744476548711,14
124,2,S2 One-sided mud pit (benchmark),standard,1,0.28322171667106166,0.34382600879932573,10.4,11.55544776697685,0,0,,,,,,0
124,2,S2 One-sided mud pit (benchmark),rls,1,0.26490755484751904,0.3522951212687224,10.4,11.617573709860043,90,90,,0.2,,,,0
124,3,S3 One-sided mud pit (stress),sindy,1,0.30340275247219745,0.42900868619967475,14.5,17.210680973366625,27,3,0.8828798985505752,0.21673433804503278,0.9892472269791697,0.9906181482181524,0.014187610810917725,15
124,3,S3 One-sided mud pit (stress),standard,0,0.30673402913867454,0.37258820540205057,,16.562424607184724,0,0,,,,,,0
124,3,S3 One-sided mud pit (stress),rls,0,0.287417580331555,0.37411672107503824,,16.64586762671939,134,134,,0.2,,,,0
124,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.2501662974223233,0.4334447350698933,9.600000000000001,11.357734781852935,17,13,0.8959380752132202,0.3697360837161546,0.9254883127253868,0.9652511104637701,0.014424058314304647,13
124,4,S4 Emergency avoidance with moving obstacle,standard,1,0.2489288529699391,0.4349408235881942,9.5,11.300006682767677,0,0,,,,,,0
124,4,S4 Emergency avoidance with moving obstacle,rls,1,0.252798050703355,0.4226006170450883,9.600000000000001,11.21105210960308,82,82,,0.2,,,,0
124,5,S5 Continuously varying terrain,sindy,1,0.2809764904359042,0.676259174376279,10.200000000000001,12.263946090919815,18,2,0.8865919860259319,0.1651489435170338,0.9652663603656341,0.9675143871633148,0.011024767659021804,15
124,5,S5 Continuously varying terrain,standard,1,0.2589760827861755,0.6482458430855464,10.3,12.21052830574201,0,0,,,,,,0
124,5,S5 Continuously varying terrain,rls,1,0.2589760827861755,0.6482458430855464,10.3,12.21052830574201,89,89,,0.2,,,,0
124,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.29798864300863276,0.49578628733433455,16.1,19.527456929145817,30,2,0.8687527327694775,0.16294933587288074,0.9809492597089376,0.9779448033286866,0.026703780008417347,15
124,6,S6 High-mismatch asymmetric mud stress,standard,1,0.30804158979062324,0.38581682011196283,16.7,18.640457716399727,0,0,,,,,,0
124,6,S6 High-mismatch asymmetric mud stress,rls,1,0.29983452212826456,0.39297807995148387,16.6,18.771597741165547,152,152,,0.2,,,,0
